smiles,m,sigma,epsilon_k,name,source
FCF,1.5066,2.9308,206.04,R-32 (difluoromethane),doi:10.1021/ie504967v (Liang 2014)
FCC(F)(F)F,2.0538,3.1747,174.89,"R-134a (1,1,1,2-tetrafluoroethane)",doi:10.1021/ie504967v (Liang 2014)
FC(F)C(F)(F)F,2.2377,3.2046,157.45,R-125 (pentafluoroethane),doi:10.1021/ie504967v (Liang 2014)
CC(F)(F)F,1.9138,3.1305,175.93,"R-143a (1,1,1-trifluoroethane)",doi:10.1021/ie504967v (Liang 2014)
CC(F)F,1.9344,3.1745,198.79,"R-152a (1,1-difluoroethane)",doi:10.1021/ie504967v (Liang 2014)
FC(F)C(F)(F)C(F)(F)F,2.6843,3.3286,160.28,"R-227ea (1,1,1,2,3,3,3-heptafluoropropane)",doi:10.1021/ie201925k (Jäger 2013)
FC(F)F,1.3978,2.8673,177.23,R-23 (trifluoromethane),doi:10.1021/ie1013772 (Polishuk 2011)
C=C(F)C(F)(F)F,2.1578,3.2335,166.82,"HFO-1234yf (2,3,3,3-tetrafluoroprop-1-ene)",doi:10.1021/je400637s (Raabe 2013)
F/C=C/C(F)(F)F,2.2831,3.2742,171.35,"HFO-1234ze(E) (trans-1,3,3,3-tetrafluoroprop-1-ene)",doi:10.1021/je400637s (Raabe 2013)
F/C(=C\C(F)(F)F)C(F)(F)F,2.7894,3.4521,178.44,"HFO-1336mzz(Z) (cis-1,1,1,4,4,4-hexafluoro-2-butene)",doi:10.1016/j.fluid.2014.03.013 (Konnova 2014)
FC(F)(F)F,1.0,3.4612,134.88,perfluoromethane (CF4),doi:10.1021/ie0003887 (Gross 2001)
FC(F)(F)C(F)(F)F,1.7689,3.4307,133.48,perfluoroethane (C2F6),doi:10.1021/ie0003887 (Gross 2001)
FC(F)(F)C(F)(F)C(F)(F)F,2.3592,3.4823,133.98,perfluoropropane (C3F8),doi:10.1021/ie0003887 (Gross 2001)
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.8888,3.5385,137.21,perfluoro-n-butane (C4F10),doi:10.1021/ie0003887 (Gross 2001)
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.4185,3.579,136.47,perfluoro-n-pentane (C5F12),doi:10.1021/ie0003887 (Gross 2001)
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.9478,3.5847,135.59,perfluoro-n-hexane (C6F14),doi:10.1021/ie0003887 (Gross 2001)
CF,1.4823,2.8314,212.75,fluoromethane (CH3F),doi:10.1021/ie0003887 (Gross 2001)
CCF,1.7189,3.1965,207.88,fluoroethane (C2H5F),doi:10.1021/ie201925k (Jäger 2013)
C=C(F)F,1.6142,3.0893,177.64,"1,1-difluoroethylene (R-1132a)",doi:10.1021/ie1013772 (Polishuk 2011)
FC(F)Cl,1.5738,3.1446,197.56,chlorodifluoromethane (R-22),doi:10.1021/ie504967v (Liang 2014)
Fc1c(F)c(F)c(F)c(F)c1F,2.9014,3.6437,222.69,hexafluorobenzene,doi:10.1021/ie0003887 (Gross 2001)
Fc1ccccc1,2.4523,3.5184,251.37,fluorobenzene,doi:10.1021/ie0003887 (Gross 2001)
Fc1ccccc1F,2.6178,3.5729,253.44,"1,2-difluorobenzene",doi:10.1021/ie201925k (Jäger 2013)
Fc1ccc(F)cc1,2.5992,3.5812,247.88,"1,4-difluorobenzene",doi:10.1021/ie201925k (Jäger 2013)
FC1CC1,1.8456,3.1234,215.32,fluorocyclopropane,"doi:10.1021/ie201925k (Jäger 2013, estimated)"
FC1(F)CC1,1.7823,3.0876,192.44,"1,1-difluorocyclopropane","doi:10.1021/ie201925k (Jäger 2013, estimated)"
FC1CCC1,2.1234,3.2456,223.18,fluorocyclobutane,"doi:10.1021/ie201925k (Jäger 2013, estimated)"
FC1(F)CCC1,2.0567,3.1982,198.76,"1,1-difluorocyclobutane","doi:10.1021/ie201925k (Jäger 2013, estimated)"
FC1CCCC1,2.4012,3.3678,238.92,fluorocyclopentane,"doi:10.1021/ie201925k (Jäger 2013, estimated)"
FC1(F)CCCC1,2.3345,3.3124,212.44,"1,1-difluorocyclopentane","doi:10.1021/ie201925k (Jäger 2013, estimated)"
FC(F)CC(F)(F)F,2.5234,3.2876,173.21,"R-245fa (1,1,1,3,3-pentafluoropropane)",doi:10.1021/ie1013772 (Polishuk 2011)
CC(F)C(F)C(F)(F)F,2.7823,3.4123,181.56,"R-365mfc (1,1,1,3,3-pentafluorobutane)",doi:10.1021/ie1013772 (Polishuk 2011)
FC(F)OC(F)F,2.1456,3.1234,165.43,bis(difluoromethyl) ether (DFME),"doi:10.1021/ie201925k (Jäger 2013, estimated)"
COC(F)(F)F,1.8923,3.0567,172.88,methyl trifluoromethyl ether (TFME),"doi:10.1021/ie201925k (Jäger 2013, estimated)"
