smiles,m,sigma,epsilon_k
CCCCCO,4.432481969088606,3.214762413083357,230.5297382875885
CCCC(C)O,3.6828600274608783,3.42633693398078,231.0909818808671
CCC(O)CC,3.78258329954149,3.3769644392696145,227.32524022138415
CCCCC(C)O,3.697979032055155,3.601139974051259,239.91435858260735
CCCCCCCO,3.997908737054559,3.674699856551808,258.3830328897988
CCCCCC(C)O,2.535364757063576,4.307050096766677,288.65178513971733
CCCCC(O)CC,4.27231130411459,3.5829151516355475,241.04578620138224
CCCCCCC(C)O,4.1431703340630825,3.771859952407354,255.0123087115186
CC(C)=O,2.8012147947143733,3.232646078177786,252.4606543422299
CCCC(=O)O,2.1013537502730455,3.988462276625237,314.30110527281073
Cc1ccccc1[N+](=O)[O-],3.763904737770828,3.5465986623756502,314.87249524422896
BrCCCBr,2.8832505289222485,3.6598871409458855,326.96853821941386
ClCCCCCl,3.1472710708105827,3.648964623116024,301.41802911340255
CCC(C)CO,3.2682551471482673,3.567292489968086,245.4481646968458
CCC(C)(C)O,5.384802892422512,2.969942103774877,193.87071025662905
CCCC(C)(C)O,3.733276397007338,3.572101269579611,236.88269115850017
CC(C)CCCO,3.69425622540799,3.612785805317773,246.6890112648559
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.731985622030366,3.666778035903576,175.72449553274507
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.180042022037492,3.733910783522491,179.95141263780872
CC(C)OC(C)C,3.511317106748188,3.6931158990840425,218.11320162927467
CCC(=O)N(C)C,3.862255332455495,3.396124751788204,283.9737404185896
CN(C)CCCN,2.8449636163785783,3.9453651318313416,290.3014567875997
CCCCC=O,3.337650748428648,3.480259808064037,254.0844864007101
CC(C)CC=O,3.092775858272045,3.5810369431429896,257.1686378389736
C=CC,1.953690491056745,3.5342794172977854,207.77414000112185
Cc1ccc(F)cc1,2.900058992691925,3.7138038419117616,284.5611623714913
CC1COC(=O)O1,3.1380672049441136,3.410919488127476,373.1571276653109
CC(=O)N(C)C,3.337035905723196,3.380563954046571,304.17596091618384
C=CC(C)(O)CCC=C(C)C,3.452428286439401,4.206925706410729,288.0777132164303
OCCCCO,4.074797429446463,3.1589805351076192,292.3588508403114
CCCCOC(C)=O,4.0684731677213115,3.496634249731264,239.44164402510245
CC(=O)OC1CCCCC1,4.353255081837752,3.578068219997091,259.1889429552196
CCCCCCS,3.198145232795663,3.9305170292731018,286.40815898319244
CCCCCCCS,3.7089163419933104,3.8840693709350136,279.2148748534278
CC(C)SC(C)C,3.334913907117846,3.863717807211512,259.5673841768611
CSc1ccccc1,3.349932695874166,3.665729317730394,318.11538388742576
CC(C)CCS,2.9967838987104827,3.818892001409984,276.8923427060822
CCC(C)C,2.5202482664133674,3.8382925486028,233.416266445902
CC(C)CCO,3.596821282286244,3.4635025297875135,239.91366874477953
CCC(C)=O,3.0087349851181733,3.3882963517692795,256.13069696670584
CCC(=O)CC,3.4105392394304404,3.443347744534697,251.38880967389449
CCCC(=O)CC,3.639036686303161,3.5565843076769283,254.14997946703264
COc1ccccc1,3.3587319672541733,3.5426795261929387,290.3147209770682
CCOc1ccccc1,3.914991205845252,3.5376697394053167,274.4278146475318
c1ccc(Oc2ccccc2)cc1,3.330235305653942,4.098643438338563,356.03816809485164
CF,2.0705076436632615,2.881525585030599,181.21942404170505
CC=O,1.8815217442791867,3.376127128882297,289.8067922077588
CCOCC,2.9667512881564764,3.499097147222404,220.5243498662005
CCC=O,1.9923365282842975,3.624485110772553,300.9715489940013
C=CCCC=C,2.7388645848768944,3.80740660684638,246.51338640914616
CC(C)=C(C)C,2.842144645196096,3.7769590526057457,252.4292085751309
ClCl,1.4926795176041674,3.4118881177929796,271.6744910131863
ClC=C(Cl)Cl,2.482300543483344,3.626463929698381,292.3149469587839
ClC(Cl)C(Cl)Cl,3.1929429140118812,3.5521323027551595,293.6837921151697
C=CCCCC,2.9944261136829793,3.751951020393894,236.74665500194743
C1=CCCC1,2.3191478681296873,3.648437311443362,265.9599305225257
CC(=O)OCC(C)C,4.195100793973184,3.4565380490200086,229.39771461834312
C1=CCCCC1,2.471749966404516,3.7836524736852417,285.9423024459562
CCCCC(=O)OC,3.7509682789845633,3.5915210529582664,250.33392629874115
CCC1CCCCC1,3.0148084197236233,3.996650010378408,283.36758210113794
CCCC1CCCCC1,3.409050625414567,3.9892470145352874,279.6548107594904
CC(C)C1CCCCC1,3.2774470396899997,4.0284483350692275,284.41159081277004
CCCCC1CCCCC1,3.838863365368652,3.969751868047339,275.8002665814169
CCCCCCCC1CCCCC1,6.895131999409207,3.5348225977085637,233.0740363743251
CCCCCC1CCCCC1,4.673197541510584,3.828151574145211,260.33247788741517
CCCCCCC1CCCCC1,5.092538908087079,3.831088554437619,259.9028931868031
CCCCCCCCC1CCCCC1,7.758623764051302,3.4796798578004573,228.20708324494072
COCCOCCOCCOCCOC,6.071518881869521,3.7004171140788342,264.74346874775085
CCC(C)(C)S,2.646163512035954,3.996777709942413,280.01728826099105
O=C(O)CF,1.6090226279029207,3.665476788458935,272.34408793194757
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,4.3189055857366245,3.80759764742143,195.15644493929028
C[Pb](C)(C)C,3.1765706643916696,3.8428259703229575,261.01092858115084
ClP(Cl)Cl,2.270630307241243,3.696164544086187,297.9035150375834
CC(C)CCOC=O,3.992427568144919,3.514704361034086,238.42862551180755
CC(C)COC=O,3.6366858976788192,3.461795688755924,236.04710363835983
CCCOC(=O)CC,4.135600145611086,3.4730949615957307,235.54938630959228
CCCC(=O)OCC,3.9509220187971823,3.5314413325884537,240.1825677034631
ClCCl,2.4320704010574237,3.2210757191695674,263.4261763833726
FC(F)(Cl)C(F)(Cl)Cl,2.7532866484612866,3.7744025262387506,236.9981104594086
CCF,2.321559307480234,3.163380308439378,199.9717898486566
