name,smiles,m,sigma,epsilon_k
methane,C,1.0000,3.7039,150.03
ethane,CC,1.6069,3.5206,191.42
propane,CCC,2.0020,3.6184,208.11
n-butane,CCCC,2.3316,3.7086,222.88
n-pentane,CCCCC,2.6896,3.7729,231.20
n-hexane,CCCCCC,3.0576,3.7983,236.77
n-heptane,CCCCCCC,3.4831,3.8049,238.40
n-octane,CCCCCCCC,3.8176,3.8373,242.78
n-decane,CCCCCCCCCC,4.6627,3.8384,243.87
isobutane,CC(C)C,2.2616,3.6578,216.53
neopentane,CC(C)(C)C,2.3543,3.7883,225.70
cyclopentane,C1CCCC1,2.3655,3.7114,288.84
cyclohexane,C1CCCCC1,2.5303,3.8499,278.11
methylcyclohexane,CC1CCCCC1,2.6637,3.9993,282.33
ethylene,C=C,1.5930,3.4450,176.47
propylene,CC=C,1.9597,3.5356,207.19
1-butene,CCC=C,2.2798,3.5640,219.58
1-hexene,CCCCC=C,2.9853,3.7753,236.81
benzene,c1ccccc1,2.4653,3.6478,287.35
toluene,Cc1ccccc1,2.8149,3.7169,285.69
R-32,FC(F)F,1.6547,3.1747,171.76
R-134a,FC(F)C(F)F,2.1087,3.2823,189.95
R-125,FC(F)(F)C(F)F,2.0766,3.3993,176.51
R-152a,FCC(F)F,2.0040,3.2201,194.49
R-1234yf,FC(=CF)C(F)F,2.3580,3.2650,195.00
R-1234ze,F/C=C/C(F)F,2.2890,3.3100,200.50
R-245fa,FC(F)CC(F)(F)F,2.7310,3.3240,189.80
R-227ea,FC(F)(F)C(F)C(F)F,2.5510,3.4520,177.20
perfluoropentane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.8553,3.8480,193.89
dimethyl_ether,COC,2.3070,3.2710,211.59
diethyl_ether,CCOCC,2.9686,3.5148,217.63
acetone,CC(C)=O,2.7447,3.2742,232.99
methanol,CO,1.5255,3.2300,188.90
ethanol,CCO,2.3827,3.1771,198.24
