smiles,sa_score,m,sigma,epsilon_k,distance,is_associating,vapor_pressure_Pa,liquid_density_mol_m3,vp_ratio_to_ref,rho_ratio_to_ref,property_distance,H_Pa,phi_inf,P_sat_solvent_Pa,H_ratio,tanimoto_to_nearest_train,epsilon_k_tree_std,H_eps_plus,H_eps_minus,H_sensitivity_pct,H_kij_plus,H_kij_minus,H_kij_sensitivity_pct
C=C(Cl)CC,2.85195145921144,2.596895000000001,3.7040503999999994,267.8293225,0.1595206369633367,False,18648.918605397907,9812.061693446,1.147738006409139,0.9030499815067696,0.1767083037765472,54376.66996219867,2.6937210408129673,20186.45180340862,1.0522622816550509,0.5,,39496.27125507267,87796.83904336803,75.88873847933155,404616.22884622787,27963.732803222174,174.14236878047237
C/C=C(\C)Cl,3.060084326344307,2.6331588,3.659835300000001,267.08163229999997,0.1732630862818595,False,17825.43775622645,10040.164501028054,1.097057305391409,0.9240433509539068,0.1232458237189097,52876.9679991059,2.6194285411850964,20186.45180340862,1.0232410155388358,0.45454545454545453,,38779.57552174836,84114.21617716986,73.77856932999255,365422.14579173905,27760.386471560658,171.7582708349103
C/C=C(/C)Cl,3.060084326344307,2.6331588,3.659835300000001,267.08163229999997,0.1732630862818595,False,17825.43775622645,10040.164501028054,1.097057305391409,0.9240433509539068,0.1232458237189097,52876.9679991059,2.6194285411850964,20186.45180340862,1.0232410155388358,0.45454545454545453,,38779.57552174836,84114.21617716986,73.77856932999255,365422.14579173905,27760.386471560658,171.7582708349103
FC1=C[C@H](F)C1,4.055089003820905,2.6277996999999993,3.494493400000002,267.14592179999994,0.180650700476119,False,20766.630171799417,11555.228770609392,1.278071464493283,1.0634818097989909,0.2852256642393779,65816.95682451951,3.260451983612388,20186.45180340862,1.2736473419189964,0.2222222222222222,,45921.76573134708,111298.81734604899,83.16602105783859,548544.3197956992,30754.433879548178,178.7643707607291
FC1=C[C@@H](F)C1,4.055089003820905,2.6277996999999993,3.494493400000002,267.14592179999994,0.180650700476119,False,20766.630171799417,11555.228770609392,1.278071464493283,1.0634818097989909,0.2852256642393779,65816.95682451951,3.260451983612388,20186.45180340862,1.2736473419189964,0.2222222222222222,,45921.76573134708,111298.81734604899,83.16602105783859,548544.3197956992,30754.433879548178,178.7643707607291
C=C[C@H](C)Cl,3.6293790056552746,2.6195923,3.6522755999999985,262.80559959999994,0.1901697877696586,False,22703.035132581696,10087.5549601904,1.397246501733551,0.9284049168110337,0.4036466760378179,66647.09011970928,3.301575272800317,20186.45180340862,1.2897115465840017,0.5384615384615384,,45409.51265781522,118306.01427646008,89.0526426951668,686152.487623063,30193.601829816223,183.1402154492798
C=C[C@@H](C)Cl,3.6293790056552746,2.6195923,3.6522755999999985,262.80559959999994,0.1901697877696586,False,22703.035132581696,10087.5549601904,1.397246501733551,0.9284049168110337,0.4036466760378179,66647.09011970928,3.301575272800317,20186.45180340862,1.2897115465840017,0.5384615384615384,,45409.51265781522,118306.01427646008,89.0526426951668,686152.487623063,30193.601829816223,183.1402154492798
CC/C=C/Cl,3.410526607140434,2.6491130000000003,3.6239299999999983,263.18665400000015,0.196455465557745,False,20853.435909914948,10232.127900229134,1.2834138785451497,0.9417106414290884,0.2893459449769655,61493.92805401754,3.0462970240086404,20186.45180340862,1.1899908745245942,0.5384615384615384,,43000.46361460991,104994.00820630083,83.77818958901355,542137.5418864392,29378.82364492579,179.43798259032462
CC/C=C\Cl,3.410526607140434,2.6491130000000003,3.6239299999999983,263.18665400000015,0.196455465557745,False,20853.435909914948,10232.127900229134,1.2834138785451497,0.9417106414290884,0.2893459449769655,61493.92805401754,3.0462970240086404,20186.45180340862,1.1899908745245942,0.5384615384615384,,43000.46361460991,104994.00820630083,83.77818958901355,542137.5418864392,29378.82364492579,179.43798259032462
C/C=C/CCl,3.455068618974753,2.6756665,3.5469287999999977,264.88878610000006,0.1994611180540935,False,18945.23029486645,10844.891965206074,1.1659743553869244,0.99810618752671,0.1659851594926156,57886.36754468681,2.8675850569693626,20186.45180340862,1.1201796879367438,0.5384615384615384,,41528.432222003285,94711.55499291913,78.07270663790943,427524.3866344289,28985.12330867529,174.60283067287008
C/C=C\CCl,3.455068618974753,2.6756665,3.5469287999999977,264.88878610000006,0.1994611180540935,False,18945.23029486645,10844.891965206074,1.1659743553869244,0.99810618752671,0.1659851594926156,57886.36754468681,2.8675850569693626,20186.45180340862,1.1201796879367438,0.5384615384615384,,41528.432222003285,94711.55499291913,78.07270663790943,427524.3866344289,28985.12330867529,174.60283067287008
C=C1CC[C@@H]1F,3.774972080743981,2.781560199999999,3.560441800000002,274.2282663,0.2006685833109454,False,8559.09288389427,10491.402081260378,0.5267649246100538,0.965572858331153,0.4744856843602502,34197.05313363082,1.694059632998822,20186.45180340862,0.6617593387253901,0.3333333333333333,,28830.44484486449,44184.29660162373,42.05685441757519,103797.35647539962,23898.79139668842,125.13856746680376
C=C1CC[C@H]1F,3.774972080743981,2.781560199999999,3.560441800000002,274.2282663,0.2006685833109454,False,8559.09288389427,10491.402081260378,0.5267649246100538,0.965572858331153,0.4744856843602502,34197.05313363082,1.694059632998822,20186.45180340862,0.6617593387253901,0.3333333333333333,,28830.44484486449,44184.29660162373,42.05685441757519,103797.35647539962,23898.79139668842,125.13856746680376
C=C1CC(F)C1,3.486598240593853,2.8006217999999996,3.6156530000000022,271.18934070000006,0.2137852589549359,False,8912.261309973499,9920.231321143585,0.5485004919022775,0.9130053388357136,0.4598041723207549,34029.66532085187,1.6857675460878034,20186.45180340862,0.6585201576221986,0.1724137931034483,,28605.384588012144,44312.903008442,43.0825213761429,106794.33792809599,23756.427790436803,127.21167843119169
