smiles,m,sigma,epsilon_k,boiling_point_K,sa_score,hfo_distance,n_fluorine,backbone,H_Pa,H_ratio
C=C(F)C(C)(C)F,2.9621421,3.5657989000000017,205.4368938,289.8323264279478,3.009688201908694,0.16676251127799438,2,acyclic_C5,10183861.5423673,2.0964301665694045e-10
C=C(C)C(C)(F)F,3.035314700000001,3.513662900000002,204.5941234,291.81505979302653,2.7707405096010014,0.17196901486714167,2,acyclic_C5,5831467.577832789,1.200454709117956e-10
C/C=C/C(C)(F)F,3.1039734000000014,3.4985257000000014,201.6567256000001,291.5195887544872,3.480924943990142,0.17270619613288435,2,acyclic_C5,6041568.469517898,1.243705674924921e-10
C/C=C\C(C)(F)F,3.1039734000000014,3.4985257000000014,201.6567256000001,291.5195887544872,3.480924943990142,0.17270619613288435,2,acyclic_C5,6041568.469517898,1.243705674924921e-10
C=C(F)CCF,3.030785100000001,3.441923399999999,205.97431080000007,291.6731523092546,3.9316597790553924,0.17693931102415913,2,acyclic_C4,4858610.358804893,1.0001841915691874e-10
C=C[C@H](F)[C@H](C)F,3.211433500000002,3.5034609,196.65044510000007,290.8467418033833,4.475938988986599,0.1831056872406017,2,acyclic_C5,7463324.731071639,1.5363856867092663e-10
C=C[C@@H](F)[C@H](C)F,3.211433500000002,3.5034609,196.65044510000007,290.8467418033833,4.475938988986599,0.1831056872406017,2,acyclic_C5,7463324.731071639,1.5363856867092663e-10
C=C[C@H](F)[C@@H](C)F,3.211433500000002,3.5034609,196.65044510000007,290.8467418033833,4.475938988986599,0.1831056872406017,2,acyclic_C5,7463324.731071639,1.5363856867092663e-10
C=C[C@@H](F)[C@@H](C)F,3.211433500000002,3.5034609,196.65044510000007,290.8467418033833,4.475938988986599,0.1831056872406017,2,acyclic_C5,7463324.731071639,1.5363856867092663e-10
CC(C)=CC(F)F,3.1901984999999984,3.5276021000000024,198.7435094000002,293.06594227077574,3.3037756227231734,0.18458267438423007,2,acyclic_C5,5078130.089511294,1.0453741014766932e-10
CC(C)(F)/C=C/F,3.097392900000001,3.606442800000001,203.88916950000007,296.5626008268911,4.060427206433581,0.18582545275448167,2,acyclic_C5,3176138.6273603216,6.538337941755537e-11
CC(C)(F)/C=C\F,3.097392900000001,3.606442800000001,203.88916950000007,296.5626008268911,4.060427206433581,0.18582545275448167,2,acyclic_C5,3176138.6273603216,6.538337941755537e-11
C=CCC(C)(F)F,3.1339771000000014,3.495118900000002,203.24395770000004,295.225282216564,3.260730373854395,0.186379772808083,2,acyclic_C5,2966466.402667374,6.106710729318168e-11
C=C(F)[C@H](F)CC,3.2197240000000007,3.489966,197.45179830000004,292.0547654708849,4.222322132556559,0.18780745431265414,2,acyclic_C5,5500948.02948043,1.132414590060553e-10
C=C(F)[C@@H](F)CC,3.2197240000000007,3.489966,197.45179830000004,292.0547654708849,4.222322132556559,0.18780745431265414,2,acyclic_C5,5500948.02948043,1.132414590060553e-10
F/C=C\CCF,3.0999903000000004,3.4449108999999987,205.68011260000003,295.33571038019943,3.8398776636707765,0.18896180875403482,2,acyclic_C4,2538066.8050854746,5.224815550381832e-11
F/C=C/CCF,3.0999903000000004,3.4449108999999987,205.68011260000003,295.33571038019943,3.8398776636707765,0.18896180875403482,2,acyclic_C4,2538066.8050854746,5.224815550381832e-11
CC(C)/C(F)=C\F,3.0337393999999995,3.589437400000002,207.501538,297.24057619304574,3.832470645347608,0.18915757407106262,2,acyclic_C5,2588218.574937846,5.328057020022745e-11
CC(C)/C(F)=C/F,3.0337393999999995,3.589437400000002,207.501538,297.24057619304574,3.832470645347608,0.18915757407106262,2,acyclic_C5,2588218.574937846,5.328057020022745e-11
C/C(F)=C\[C@@H](C)F,3.160452,3.5207532000000015,202.18287340000015,295.848918511121,4.4169176076696814,0.18919523924421452,2,acyclic_C5,2858986.841926056,5.885455371033563e-11
C/C(F)=C\[C@H](C)F,3.160452,3.5207532000000015,202.18287340000015,295.848918511121,4.4169176076696814,0.18919523924421452,2,acyclic_C5,2858986.841926056,5.885455371033563e-11
C/C(F)=C/[C@@H](C)F,3.160452,3.5207532000000015,202.18287340000015,295.848918511121,4.4169176076696814,0.18919523924421452,2,acyclic_C5,2858986.841926056,5.885455371033563e-11
C/C(F)=C/[C@H](C)F,3.160452,3.5207532000000015,202.18287340000015,295.848918511121,4.4169176076696814,0.18919523924421452,2,acyclic_C5,2858986.841926056,5.885455371033563e-11
FC=C(CF)CF,3.2669383000000005,3.3705312000000003,194.78715850000003,288.173207151176,4.446654355754848,0.19560053774157943,3,acyclic_C4,7891909.095113993,1.6246132402713795e-10
C=C(CF)[C@@H](C)F,3.2297148000000004,3.537995200000002,199.10798720000003,295.9143817834949,4.338719417624433,0.19736337160777853,2,acyclic_C5,3070855.0985053815,6.321603292510622e-11
C=C(CF)[C@H](C)F,3.2297148000000004,3.537995200000002,199.10798720000003,295.9143817834949,4.338719417624433,0.19736337160777853,2,acyclic_C5,3070855.0985053815,6.321603292510622e-11
