smiles,m,sigma,epsilon_k,m_std,sigma_std,epsilon_k_std,boiling_point_K,sa_score,cf3_count,hfo_distance,n_fluorine,backbone,model_type,H_Pa,H_ratio
CC(F)(F)C(F)=C(F)F,3.689131799999998,3.319374400000001,184.1460069,0.4365331733863532,0.141165948941804,18.281902352720504,292.6063613118049,3.5744411940387435,0,0.3348285677637956,5,acyclic_C4,rf,2799800.6432676525,5.763615799869084e-11
FC(F)=CCC(F)(F)F,3.7749204999999986,3.153498900000002,181.350453,0.5877756690173132,0.42057201431834473,18.75457333313288,288.4065705351095,3.400944091141641,1,0.37566135961849123,5,acyclic_C4,rf,2980820.6835170193,6.136260176025993e-11
F/C=C(\F)CC(F)(F)F,3.8093710999999995,3.2601918999999997,181.59639719999998,0.6199842076793488,0.14820019525422362,18.812209059649863,292.82964570793723,3.7299350002325493,1,0.37610151317047835,5,acyclic_C4,rf,2109076.4287784384,4.3417042057150505e-11
F/C=C(/F)CC(F)(F)F,3.8093710999999995,3.2601918999999997,181.59639719999998,0.6199842076793488,0.14820019525422362,18.812209059649863,292.82964570793723,3.7299350002325493,1,0.37610151317047835,5,acyclic_C4,rf,2109076.4287784384,4.3417042057150505e-11
F/C=C\C(F)(F)C(F)F,3.819049599999999,3.2381821999999993,181.95467000000008,0.5930174680242057,0.12531434947028208,20.4233491447373,293.25259835229434,4.1445895456870945,0,0.3819374879946397,5,acyclic_C4,rf,1796687.0861698426,3.698625508273128e-11
F/C=C/C(F)(F)C(F)F,3.819049599999999,3.2381821999999993,181.95467000000008,0.5930174680242057,0.12531434947028208,20.4233491447373,293.25259835229434,4.1445895456870945,0,0.3819374879946397,5,acyclic_C4,rf,1796687.0861698426,3.698625508273128e-11
FCC(F)(F)C=C(F)F,3.8195882999999986,3.2722614000000005,188.6141899000001,0.574386845944534,0.1835484958479366,23.55637189037476,303.87494766764905,4.167372762470313,0,0.39759519819012296,5,acyclic_C4,rf,454263.6115521152,9.351383410611893e-12
FC(F)=C(F)CC(F)F,3.8762670999999993,3.247416299999998,180.91469320000004,0.6918515575718462,0.16654287306669718,11.1283134500846,294.41545230254087,3.811161573659124,0,0.3997670397174226,5,acyclic_C4,rf,1533195.5310024258,3.156206856378483e-11
FC(F)=CC(F)(F)C(F)(F)F,3.9238712,3.3267765000000016,176.35978130000007,0.5496181676114428,0.1746699363220529,11.191983289508224,291.49489966186684,3.5771849516818452,1,0.41076366403580616,7,acyclic_C4,rf,3794566.75396247,7.811422198714485e-11
FC(F)=C(F)CC(F)(F)F,3.9836432999999984,3.3353066999999994,178.6938263,0.4870418143384713,0.2904863944388963,10.268842803759402,297.7222086821068,3.3966020589832056,1,0.43081325466329556,6,acyclic_C4,rf,1293981.4747206762,2.6637653971440366e-11
F/C(=C/C(F)(F)F)C(F)(F)F,3.9798863,3.268464200000001,175.53162690000008,0.5855093982792334,0.12932225631483543,11.04052991659202,291.1933849232481,3.38236956706646,2,0.43489877319001424,7,acyclic_C4,rf,2983274.451659363,6.141311455969241e-11
F/C(=C\C(F)(F)F)C(F)(F)F,3.9798863,3.268464200000001,175.53162690000008,0.5855093982792334,0.12932225631483543,11.04052991659202,291.1933849232481,3.38236956706646,2,0.43489877319001424,7,acyclic_C4,rf,2983274.451659363,6.141311455969241e-11
F/C=C(/F)C(F)(F)CF,3.7835100999999973,3.231143499999998,197.5979574000001,0.5163570632566093,0.15754726175579814,43.63918860972785,314.31377306667514,4.187292342889893,0,0.43913676592808953,5,acyclic_C4,rf,161373.55051127743,3.3220048993283126e-12
F/C=C(\F)C(F)(F)CF,3.7835100999999973,3.231143499999998,197.5979574000001,0.5163570632566093,0.15754726175579814,43.63918860972785,314.31377306667514,4.187292342889893,0,0.43913676592808953,5,acyclic_C4,rf,161373.55051127743,3.3220048993283126e-12
FCC(F)(F)C(F)=C(F)F,4.056802399999999,3.231051899999999,183.29880310000016,0.46779165925253524,0.12384792580172665,16.120499960035033,305.2614483827019,3.9359962897524365,0,0.4672837320538407,6,acyclic_C4,rf,338522.5082510203,6.9687593002684095e-12
CC(F)=C(C(F)(F)F)C(F)(F)F,4.095268999999999,3.4750030999999995,182.171281,0.5664332604561637,0.24475714215807887,21.677029183475465,311.0877537583294,3.3072937592100367,2,0.4705768145459087,7,acyclic_C5,rf,347978.061235611,7.163409496915558e-12
F/C=C(/F)C(F)(F)C(F)F,4.0933386999999986,3.256990499999999,180.07279730000005,0.5001313680677407,0.1429654542564392,20.528599744899797,302.51855122444937,3.8752809051370516,0,0.474687527071462,6,acyclic_C4,rf,496552.7333602896,1.0221939145364904e-11
F/C=C(\F)C(F)(F)C(F)F,4.0933386999999986,3.256990499999999,180.07279730000005,0.5001313680677407,0.1429654542564392,20.528599744899797,302.51855122444937,3.8752809051370516,0,0.474687527071462,6,acyclic_C4,rf,496552.7333602896,1.0221939145364904e-11
FC(F)=C(C(F)(F)F)C(F)(F)F,4.0887886999999985,3.349295200000002,170.37851590000005,0.6293317445173969,0.17965141660716175,10.11141366842946,289.5517331521214,3.277457311404029,2,0.4785156465172032,8,acyclic_C4,rf,7259564.899048479,1.4944400792585617e-10
F/C(=C(\F)C(F)(F)F)C(F)(F)F,4.102769999999998,3.3077638000000023,172.71699750000013,0.5489483856138024,0.11439205054355837,12.693907757928239,292.76783778716026,2.9865352914686927,2,0.4799300501366125,8,acyclic_C4,rf,2809079.1780802226,5.7827164133266726e-11
F/C(=C(/F)C(F)(F)F)C(F)(F)F,4.102769999999998,3.3077638000000023,172.71699750000013,0.5489483856138024,0.11439205054355837,12.693907757928239,292.76783778716026,2.9865352914686927,2,0.4799300501366125,8,acyclic_C4,rf,2809079.1780802226,5.7827164133266726e-11
FC(F)=CC(F)(F)C(F)F,4.1109203,3.2606099,181.18435640000007,0.45308835093711014,0.14641259802008158,13.046652536347747,305.01041204894466,3.9908962897524365,0,0.48144574153980985,6,acyclic_C4,rf,372680.5961367225,7.67193113325141e-12
C/C(=C(\F)C(F)(F)F)C(F)(F)F,4.129369399999999,3.506188800000001,183.08553919999997,0.6873319083671585,0.2353573044172626,21.581849682508167,314.69961146197437,3.236460792177069,2,0.4844006062513766,7,acyclic_C5,rf,257382.72793551657,5.298431375496814e-12
C/C(=C(/F)C(F)(F)F)C(F)(F)F,4.129369399999999,3.506188800000001,183.08553919999997,0.6873319083671585,0.2353573044172626,21.581849682508167,314.69961146197437,3.236460792177069,2,0.4844006062513766,7,acyclic_C5,rf,257382.72793551657,5.298431375496814e-12
CC(=C(F)F)C(F)(F)C(F)(F)F,4.157443899999999,3.5149466000000005,183.06964359999992,0.6662761577302537,0.26281826958269094,20.73755454882511,316.0657240125966,3.322915187781464,1,0.4945338381435964,7,acyclic_C5,rf,230358.06460566475,4.74210684957525e-12
F/C=C/C(C(F)(F)F)C(F)(F)F,4.166807799999998,3.4530169,182.00456729999993,0.5165509849135516,0.23644935655524635,12.794481998624466,313.2869091327433,3.770126176792453,2,0.4958170794006813,7,acyclic_C5,rf,259353.56600573094,5.339002669270122e-12
F/C=C\C(C(F)(F)F)C(F)(F)F,4.166807799999998,3.4530169,182.00456729999993,0.5165509849135516,0.23644935655524635,12.794481998624466,313.2869091327433,3.770126176792453,2,0.4958170794006813,7,acyclic_C5,rf,259353.56600573094,5.339002669270122e-12
C=CC(F)(F)C(F)(F)C(F)(F)F,4.188561799999999,3.388147400000002,181.4762335,0.8427468156954138,0.18724341101689,22.540909650007485,311.78132843350494,3.0678690339353114,1,0.5037222868585312,7,acyclic_C5,rf,254655.77195942888,5.242294783817976e-12
F/C=C(/CC(F)(F)F)C(F)(F)F,4.1899267999999985,3.438543300000001,182.0221924,0.5630479363195998,0.21694907325017546,13.374747129757266,313.92045059227223,3.474749518967519,2,0.5041221620638697,7,acyclic_C5,rf,234426.29890742587,4.825854739110106e-12
F/C=C(\CC(F)(F)F)C(F)(F)F,4.1899267999999985,3.438543300000001,182.0221924,0.5630479363195998,0.21694907325017546,13.374747129757266,313.92045059227223,3.474749518967519,2,0.5041221620638697,7,acyclic_C5,rf,234426.29890742587,4.825854739110106e-12
FC(F)(F)/C=C/C(F)(F)F,4.176568599999999,3.2055381999999986,171.9725632000001,0.5986322661033567,0.15627295429715282,8.56221316186217,292.090242298356,3.2167046003810604,2,0.5138854257571487,6,acyclic_C4,rf,1867830.4558634541,3.8450798819471996e-11
FC(F)(F)/C=C\C(F)(F)F,4.176568599999999,3.2055381999999986,171.9725632000001,0.5986322661033567,0.15627295429715282,8.56221316186217,292.090242298356,3.2167046003810604,2,0.5138854257571487,6,acyclic_C4,rf,1867830.4558634541,3.8450798819471996e-11
C=C(F)C(C(F)(F)F)C(F)(F)F,4.238895,3.4430124000000006,181.81945349999998,0.5506638168710561,0.2892793645703751,20.439937424438384,315.7225850538057,3.4913140888803653,2,0.5213800553705653,7,acyclic_C5,rf,200141.75553422378,4.120079717762651e-12
F/C(=C/C(F)(F)F)CC(F)(F)F,4.252869099999998,3.407438000000001,182.01322259999995,0.5151640217155987,0.25073114877892605,13.55699258695981,315.7300844005209,3.4801065481452387,2,0.5268787864836847,7,acyclic_C5,rf,183596.96534758696,3.7794918464279025e-12
F/C(=C\C(F)(F)F)CC(F)(F)F,4.252869099999998,3.407438000000001,182.01322259999995,0.5151640217155987,0.25073114877892605,13.55699258695981,315.7300844005209,3.4801065481452387,2,0.5268787864836847,7,acyclic_C5,rf,183596.96534758696,3.7794918464279025e-12
FC(F)=C(F)C(F)(F)C(F)(F)F,4.224831699999998,3.349840900000002,169.87303530000005,0.5151744798144701,0.11606810994493709,14.566639218852055,294.0658155024922,3.258263539429816,1,0.5273475762332998,8,acyclic_C4,rf,2946461.269807235,6.065528547255158e-11
CC(F)(F)C(=C(F)F)C(F)(F)F,4.2478675,3.5453619999999986,183.7348756999999,0.6210046769829919,0.25741517818108545,19.864341740879073,321.633177195933,3.476221781188058,1,0.5284368156883307,7,acyclic_C5,rf,150702.52382122478,3.1023331945606792e-12
F/C(=C/CC(F)(F)F)C(F)(F)F,4.260618499999999,3.4016900000000008,182.0140615999999,0.4821339036603316,0.32295627909362595,13.484210783730628,315.9061543439715,3.392517688728793,2,0.5297327373391898,7,acyclic_C5,rf,178388.1673107579,3.672264531027486e-12
F/C(=C\CC(F)(F)F)C(F)(F)F,4.260618499999999,3.4016900000000008,182.0140615999999,0.4821339036603316,0.32295627909362595,13.484210783730628,315.9061543439715,3.392517688728793,2,0.5297327373391898,7,acyclic_C5,rf,178388.1673107579,3.672264531027486e-12
FC(F)=C(F)C(F)(F)C(F)F,4.275450299999999,3.294068400000001,177.2140792000001,0.5259280990010989,0.14524359876924012,14.777975033036947,306.28173719982937,3.562438797835691,0,0.5368881732858194,7,acyclic_C4,rf,353070.89561889926,7.268249606829165e-12
C=C(C(F)(F)F)C(F)(F)C(F)F,4.2825334999999995,3.3479412999999987,182.96771020000003,0.8443726917604274,0.1767481630097184,21.09186750370327,316.98909734769785,3.5363190339353094,1,0.5399755681857716,7,acyclic_C5,rf,145298.57872838122,2.991088619366971e-12
C/C(F)=C(\F)C(F)(F)C(F)(F)F,4.3079380999999985,3.450705600000002,180.55272149999993,0.5880630493589866,0.21079409933544155,23.268201182014618,316.70136329398935,3.37963991305619,1,0.5450396442344049,7,acyclic_C5,rf,187968.59643860967,3.869485403962094e-12
C/C(F)=C(/F)C(F)(F)C(F)(F)F,4.3079380999999985,3.450705600000002,180.55272149999993,0.5880630493589866,0.21079409933544155,23.268201182014618,316.70136329398935,3.37963991305619,1,0.5450396442344049,7,acyclic_C5,rf,187968.59643860967,3.869485403962094e-12
C=C(F)C(F)(F)[C@@H](F)C(F)(F)F,4.337176199999999,3.4071926,182.35202390000003,0.5856159594474523,0.25481687106477074,21.33661842056257,319.67965563181264,3.902284742217306,1,0.5573428431409154,7,acyclic_C5,rf,132329.9392463793,2.7241186992013845e-12
C=C(F)C(F)(F)[C@H](F)C(F)(F)F,4.337176199999999,3.4071926,182.35202390000003,0.5856159594474523,0.25481687106477074,21.33661842056257,319.67965563181264,3.902284742217306,1,0.5573428431409154,7,acyclic_C5,rf,132329.9392463793,2.7241186992013845e-12
F/C=C/C(F)(F)[C@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999994,0.5194597043397592,0.22258138856470014,14.05040173397883,322.6722902442179,4.2777342874996105,1,0.5661392004653789,7,acyclic_C5,rf,109707.54302468736,2.25841839797541e-12
F/C=C/C(F)(F)[C@@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999994,0.5194597043397592,0.22258138856470014,14.05040173397883,322.6722902442179,4.2777342874996105,1,0.5661392004653789,7,acyclic_C5,rf,109707.54302468736,2.25841839797541e-12
F/C=C\C(F)(F)[C@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999994,0.5194597043397592,0.22258138856470014,14.05040173397883,322.6722902442179,4.2777342874996105,1,0.5661392004653789,7,acyclic_C5,rf,109707.54302468736,2.25841839797541e-12
F/C=C\C(F)(F)[C@@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999994,0.5194597043397592,0.22258138856470014,14.05040173397883,322.6722902442179,4.2777342874996105,1,0.5661392004653789,7,acyclic_C5,rf,109707.54302468736,2.25841839797541e-12
FC(F)=CCC(F)(F)C(F)(F)F,4.3835805999999975,3.4103282999999998,182.74182979999995,0.5253351976230413,0.30969005107705677,13.657075585760447,322.25754587041314,3.427247662203593,1,0.5743055286576106,7,acyclic_C5,rf,110250.6823621753,2.2695993600007004e-12
