smiles,m,sigma,epsilon_k,m_std,sigma_std,epsilon_k_std,boiling_point_K,hfo_distance,tanimoto_nn,ad_label,mean_cv,rank_original,rank_median,rank_p05,rank_p95,rank_shift,credibility,f_mass_fraction,has_cf3,has_reactive_f,reactive_patterns,is_associating,mol_weight,heavy_atom_count,n_cc_double,n_fluorine,n_chlorine,n_hydrogen,n_carbon,lifetime_class,gwp_class,flammability_class,has_toxicity_flags,toxicity_flags,safety_score,safety_gate
CC(F)(F)C(F)=C(F)F,3.689131799999998,3.319374400000001,184.1460069,0.4365331733863532,0.141165948941804,18.281902352720504,292.6063613118049,0.3348285677637956,0.5,in_domain,0.0867122590469174,1,14,2,38,13,screening_ready,0.6505474126200261,False,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS
FC(F)=CCC(F)(F)F,3.7749204999999986,3.153498900000002,181.350453,0.5877756690173132,0.4205720143183447,18.75457333313288,288.4065705351095,0.3756613596184912,0.3333333333333333,warning,0.1308294739578942,2,18,2,44,16,screening_with_warning,0.6505474126200261,True,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS
F/C=C(\F)CC(F)(F)F,3.809371099999999,3.2601918999999997,181.5963972,0.6199842076793488,0.1482001952542236,18.812209059649863,292.82964570793723,0.3761015131704783,0.3809523809523809,warning,0.1039344667256393,3,18,2,45,15,screening_with_warning,0.6505474126200261,True,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS
F/C=C(/F)CC(F)(F)F,3.809371099999999,3.2601918999999997,181.5963972,0.6199842076793488,0.1482001952542236,18.812209059649863,292.82964570793723,0.3761015131704783,0.3809523809523809,warning,0.1039344667256393,4,18,2,46,14,screening_with_warning,0.6505474126200261,True,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS
F/C=C\C(F)(F)C(F)F,3.819049599999999,3.2381821999999993,181.95467000000008,0.5930174680242057,0.125314349470282,20.4233491447373,293.25259835229434,0.3819374879946397,0.4444444444444444,in_domain,0.1020739827583563,5,18,2,45,13,screening_with_warning,0.6505474126200261,False,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS
F/C=C/C(F)(F)C(F)F,3.819049599999999,3.2381821999999993,181.95467000000008,0.5930174680242057,0.125314349470282,20.4233491447373,293.25259835229434,0.3819374879946397,0.4444444444444444,in_domain,0.1020739827583563,6,19,2,46,13,screening_with_warning,0.6505474126200261,False,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS
FCC(F)(F)C=C(F)F,3.8195882999999986,3.2722614000000005,188.6141899000001,0.574386845944534,0.1835484958479366,23.55637189037476,303.87494766764905,0.3975951981901229,0.3333333333333333,warning,0.1104544453492422,7,23,2,47,16,screening_with_warning,0.6505474126200261,False,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS
FC(F)=C(F)CC(F)F,3.8762670999999993,3.247416299999998,180.91469320000004,0.6918515575718462,0.1665428730666971,11.1283134500846,294.41545230254087,0.3997670397174226,0.2941176470588235,ood,0.0970933638078641,8,14,1,46,6,high_extrapolation_risk,0.6505474126200261,False,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS
FC(F)=CC(F)(F)C(F)(F)F,3.9238712,3.3267765000000016,176.3597813000001,0.5496181676114428,0.1746699363220529,11.191983289508224,291.49489966186684,0.4107636640358061,0.3333333333333333,warning,0.0853452450688574,9,15,2,43,6,screening_with_warning,0.730705767244362,True,False,,False,181.996647572,11,1,7,0,1,4,very_short,ultra_low,A1,False,,5,PASS
FC(F)=C(F)CC(F)(F)F,3.9836432999999984,3.3353066999999994,178.6938263,0.4870418143384713,0.2904863944388963,10.268842803759402,297.7222086821068,0.4308132546632955,0.3529411764705882,warning,0.0889402953982975,10,20,2,43,10,screening_with_warning,0.6950230587693139,True,False,,False,164.006069384,10,1,6,0,2,4,very_short,ultra_low,A1,False,,5,PASS
